truthful ||| negative ||| I'm a frequent business traveler and often in Chicago on trips. At times, it's very difficult to even find a hotel in downtown Chicago, and this was one of those times. I recently had to pay almost $400 for one night at the Allegro. It was absolutely not worth it. The hotel was filled to capacity with conventioneers, so check-in and check-out were very slow. There were very few elevators, which were worked beyond capacity with all the guests. The morning I checked out, our elevator stopped at every single floor from the 16th floor down to the lobby, but the elevator was almost completely full when I got on at the 18th floor, so I can only imagine how long it must have taken other guests to get downstairs. The room was extremely small and cramped, even though it had obviously been renovated recently. The TV, bed, and decor were all new and were the high points of the hotel. Still, the rate was way overpriced for such a small room. The best thing about the Allegro was the room service, which was prompt. The food was good, and the prices were very reasonable for room service. From now on, if my regular hotels are booked, I'll just take a cab farther out from the city because it just isn't worth it.
truthful ||| positive ||| We booked this hotel for the second leg of our Chicago stay..it was great!!!! The Lion King package was pricey but reasonable, given the ticket costs and the Suite. Room was great....classical music greeted us when we entered our room after a long day of sightseeing and shopping. NYTimes and Chicago Tribune at your door every morning. One block from the Washington El train station. We never saw the small rooms that every one apparently doesn't like, but the Suite rooms were fun and our kids loved it. Dunkin Doughnuts and Corner Bakery down the block. City Hall, Picasso structure....this was a great place. Book it and also use the Golden Touch Limo service...reasonable. Omar is a super guy.
truthful ||| negative ||| My husband and I stayed overnight at the Affinia. Prior reviews led us to believe this was a quality hotel; not true. Since it was a very special occasion, and also because we were only staying overnight, we didn't let the shabbiness and poor service of the hotel ruin our weekend. However, this would have qualified as one of the poorest hotel experiences. I've ever had. First, the smells: The linens and pillows on our bed smelled moldy and mildewy. The odors were not mild, and I found it pretty repulsive. I couldn't wait to jump out of bed in the morning, to get away from the odors. Hard to sleep and certainly didn't want to be in the bed any longer than absolutely necessary. I didn't discover how disgusting the bed smelled until around midnight when we got into bed. At that point, I chose not to contact housekeeping because (a) I was exhausted, and (b) I didn't want to upset my husband, who had fallen immediately to sleep after a long day of sightseeing. Also, the bathroom smelled like vinegar. Perhaps this is the cleaning agent used by Affinia, but the odor should have dissipated over the course of our stay and it never did. Incidentally, the bathroom floor tiles and wallpaper looked like they had seen better days; not a well-maintained property. Second, the elevators: If you stay above the first few floors, there are only two elevators that run from ground level to the rooftop c-view bar. With so many floors to service, and so many people going up to the c-view bar on a saturday, these elevators took forever to come, and were often full they did. Annoying. Also, on one occasion, there were several bottles (water and soda) left in the elevator; clearly, the maintenance crew doesn't inspect and clean the common areas frequently. Finally, and perhaps the most disappointing was the service when we arrived. First, when we booked, we asked for as quiet a room as possible. The hotel is located near Northwestern Memorial Hospital. But, its proximity to Michigan Ave., and the lack of accomodations elsewhere (due to the Transformers movie filming and a big international convention taking place the same week-end), led us to stay here anyway. At check-in, the clerk noted our request, and said our room was quiet room since it was not "next to the elevators." When we arrived at our room, we discovered that we were across from the elevators. Obviously, she was technically correct that we weren't next to the elevators, but it was still so close (15-20 feet) that we could hear the elevator noise. Also, since it was a special occasion, we asked if we could upgrade. The disingenuous, snarky, condescending clerk told us that checking in early was an upgrade. Clearly, the woman has not travelled enough to know that in many quality hotels, this is a matter of routine, not exception. Pretty awful experience all the way around. Other reviewers must have very low expectations. Can't explain any of the good reviews otherwise.
fake ||| negative ||| During my latest business trip, both me and my wife recently stayed at the Omni Chicago Hotel in Chicago,Illinois, at one of their Deluxe suites. Unfortunately, and I think I speak for both of us, we were not fully satisfied with the hotel. The hotel advertises luxury-level accommodations, and while the rooms resemble what one can see in the pictures, the service is certainly sub-par. When one plans a stay at such an establishment, they expect a service that goes beyond having fresh towels in the bathroom when they check in. First of all, the air-conditioning in the room seemed to be in need of a new filter and when it was first turned on, the air coming out seemed musty. Second of all, the fitness center was only open until 10:30 pm. For people who like to exercise after dinner, this can certainly be a problem. Especially considering that it does not take much to have the fitness center available around the clock or until midnight. For these, as well as other similar reasons, I would not recommend this hotel, if one is looking for luxury accommodations.
truthful ||| positive ||| Booked via Priceline.com for a weekend getaway and got the room for $75 per night. When we arrived via Midway we took the Orange Line to within a block of the hotel for just $2. Hotel easy to find. Never felt uncomfortable with the neighborhood/area. Saw very few homeless or panhandlers. Walked all over the place. Great location and hotel is about a $5-$6 cab ride from most major attractions/shopping/restaurants. Hotel is almost gawdy with colors/decor, but it's not that different from a cruise ship decor. It was not annoying decor by any means. Check in was painless and the service was great! Heard NO noise whatsoever...the reports of "thin walls" are greatly exaggerated. The walls are all concrete and thick...we heard NOTHING both nights we were there! Highly recommend this hotel! Rooms are small but not crowded for two people...they are old style hotel rooms..very classic
fake ||| positive ||| My husband and I recently stayed at the Hard Rock Hotel Chicago and we can't wait to go back! The hotel is located in downtown Chicago and seems to be at the heart of the city, we were close to everything. The Hard Rock Hotel is forty stories high and the view from our room was simply breathtaking. The room itself was spotless and featured modern luxurious decor and furnishings. The bed was heavenly. The hotel staff was friendly, upbeat and extremely helpful, we asked for directions and restaurant recommendations and they were spot on with both. I highly recommend the Hard Rock Hotel in Chicago and I would stay there again in a heartbeat.
fake ||| positive ||| I was going to Chicago last month and wanted a nice hotel that was close to restaurants and shops. I did some research and believed the InterContinental would suit my needs. I sure was not disappointed by my decision! This hotel lots of historic charm. Despite being a larger hotel, the service was top shelf! The rooms, while not large by any means, were extremely well-appointed and very comfortable. My kids loved the big swimming pool that the hotel offered. As for me, I was more impressed with the location to the Magnificent Mile. The hotel also has a nice restaurant on-site. The food was very good and, just like the hotel itself, the restaurant provided perfect customer service. Dollar for dollar, the InterContinental in Chicago is a great deal and I will be staying there again.
truthful ||| positive ||| My husband and I stayed at the Hotel Monaco for 5 days in October, 2007. I cannot begain to tell you how great this place is. The service was impecable and the room was fantastic. Huge window seat to look over Chicago. It was great. The wine reception in the evening was a special treat as was the morning coffee service in the lobby. This was our first trip to Chicago and I hope not our last. I will definately stay at Hotel Monaco again when we return. We booked our room through a safety convention web site.
fake ||| negative ||| The Hilton Chicago boasts to be one of the greats but falls into a cliche of a hotel. There are many different rooms with a supposed array of choices from King with two bathrooms, Lakeside view or suites. It only looks good on paper that is until you get your bill. You will pay a huge fee for what seems like a nice upgrade but gives you nothing in return! The staff is nice but when I stay at a hotel I do not go out of my way to seek out the staff. The casual dining atmosphere might be nice for a college couple looking for a getaway but it will not be cheap. Next time I stay in Chicago I will be looking elsewhere.
fake ||| negative ||| My wife and I went to Chicago to enjoy our weekend and stayed at Hyatt Regency. 'Hyatt Regency Chicago' has ruined our family holiday weekend. First of all, if you are not a diamond or platinum member, you need to reserve the room atleast 10-15 days in advance. You have to pay extra $20 for the welcome credit option. They will give you a credit of $75 for the 2 days. We only used $20 and the rest was forefeited. I talked to the manager and he said we can't use it on our next visit. The management of the hotel is full of cheap minded people. When you know most of the hotels let you use their wi-fi for free, Hyatt Regency management asked us to pay for using their wi-fi. Beware of this place, if you want to enjoy your weekend in Chicago, Hyatt Regency should be the last place you should consider staying. Thanks Sam.
truthful ||| negative ||| I stay in Chicago all the time on business and had my first stay at the Chicago Hilton. I pretty much only stay at Hilton properties and have stayed at tons from Hawaii all the way to Budapest. This Hilton is not up to par. It's clean and the front desk staff is nice, but in Chicago, The Drake, Doubletree Guest Suites, and even the Hilton Garden Inn are all superior to the Chicago Hilton (and less expensive). Compared to other Hilton properties in Chicago, the rooms were not as well appointed, the bathrooms in the rooms were smaller and not as nice, the TV was tiny, the hallways on the executive floor were very noisy all night long, and the breakfast you get was more like a Hampton Inn than a 4 star hotel. If you're going to Chicago and you like Hilton brand hotels, you can do far better than this place.
fake ||| negative ||| I recently stayed at the Hyatt Regency Chicago Hotel, in downtown Chicago. During my three days there I experienced the worst service of my life! We made reservations before-hand and upon arrival our room was already booked. It took us nearly two hours to actually get into our room (After being given the wrong key!). When we entered the room, the sheets were stained with what seemed to be cherry kool-aid. I am going to assume that it wasn't. After a night on the town we were bummed for money by three homeless men outside the hotel. After arriving in our room and hoping for a nice hot shower, we found a note on our door with a "sorry" note explaining they didn't have any hot water. Early the next morning we were awoken by housekeeping (we had a DND sign on our door). So we decided to wake up and go out for breakfast. Comes to find out our car was broken into in their parking garage. We filed a police report and the police asked the managers for a video of the surveillance. Unfortunately for us their surveillance was out of memory to record anymore. Needless to say we left early the next day and I will never return to such a dreadful hotel ever again.
fake ||| positive ||| After recent week stay at the Affinia Hotels, I can definitely say i will be coming back. They offer so many in room amenities and services, Just a very comfortable and relaxed place to be. My most enjoyable experience at the Affinia Hotel was the amazing customization they offered, I would recommend Affinia hotels to anyone looking for a nice place to stay .
truthful ||| positive ||| Just got back from a 10 day visit to Chicago. For the rate of $219 per night, it was extremely good value. Reception staff were efficient, courteous and very friendly. I was given a room on the top floor (32nd floor) facing the lake and the John Hancock Tower. The rooms were large and very comfortable. Housekeeping/Turn Down Service were efficient and thorough. Bathroom amenities were very good and replaced daily. This is definitely my first choice for a Hotel in Chicago. It is also very close to all the shops, restaurants and the subway.
fake ||| positive ||| Very nice hotel, better than expected. The hot breakfast is great in the morning, but the Dinner at night goes above and beyond (even free wine!) The rooms are pretty good size, well furnished, and clean. I liked the view from my room. I used the fitness center and although did not have everything I would have liked, was adequate. I will say the pool is really nice and offers a pretty sweet view. The staff was friendly and helpful; being my first time in Chicago they were able to point me in the right direction and saved me some frustration. I would definitely recommend this hotel.
fake ||| negative ||| First stepping foot on the hotel propety I could tell it was a negative place, Seeing as how there was what apperd to me to be Vice Lords all aroung the property. Not that i have a personal problem or affelated with another gang, It's just the way they was acting, drinking the hotels cheepest wine, they could of been there for securaty purpouses like the hell's angels was to some concerts. Walking in the hotel i oder hit me. It smelled like a cretan type of burning wood that i have smelled, only later to find out it was the smell of rock cocine. I looked at the pool only to find there was no watter and scateborders all around the place. Me being a high class bizness man, I decided to leave.
truthful ||| positive ||| I just enjoyed a 3-day weekend at the Swissotel Chicago. A friend of mine booked it and got a GREAT rate. Cheaper than even a fleabag motel. So keep an eye out for specials. The view was great, the location was prime. The staff was helpful. The room was large (we had 2 double beds). I only have one complaint. Our room was next to some sort of storage or mechanical room where employees (I think) would sneak off to talk on the phone. The sound came right though the vent in our bathroom and we could hear them plain-as-day. Fortunately, the sound was only in the bathroom so it wasn't like it kept us up at night. It was just a little weird. Overall, a great stay and I will definitely stay there again.
fake ||| negative ||| I recently stayed at the Hotel Allegro Chicago with my wife. I was on business but I thought I'd take her so we could see the city as well. Chicago was great, The Allegro...not so much. I mean it looked nice, great lobby and all. The service wasn't so great though. The clerk was a younger girl who seemed a bit rude. Like we were bothering her and interrupting her day by wanting to book a weekend. The bell hop took our bags to our room, none to gently. My wife and I watched as he threw our luggage on the floor in our room. Which wasn't that bad till he actually asked for a tip! Our room was okay. The bed was sort of rough and made a odd plastic rubbing noise every time you moved. The next day my wife went out and returned to find our room wasn't cleaned. Our trip to the Chicago had it's nice moments, all outside the hotel. The Hotel Allegro seemed like they spent too much on the appearance and neglected to staff it better. I won't stay there again.
fake ||| positive ||| I stayed at this hotel for a weekend and I thought it was really nice. The bed was extremely comfortable and the room was very clean. The room also had a beautiful view. It had everything you could possibly need. I almost didn't want to leave the room. It was definitly worth the price. I would go back. The clientel was also very helpful.
fake ||| positive ||| This is a beautiful hotel with a great view of the Chicago River and a short walk to all the best places to visit in the city! I had an unbelievably pleasant and relaxing stay with an in-room massage and fantastic room service. If you're looking for a vacation in Chicago and want to experience the best the city has to offer as well as live in luxury and comfort, I highly recommend this hotel and I would definitely come again!
truthful ||| negative ||| WARNING: FOOD POISONING ALERT!!! The room was dirty, the shower had mold and the handle in the shower my daughter cracked her head open on. The elevators were absolutly terrible they made me dizzy every time i went on it. They hade pasta night and they put out a bowl of noodles and sauce and i couple of rolls well you get what you pay for. What was worse is the sauce must of had bad meat in it because my family got so sick. The one thing that was nice was the location which was right by michigan avenue. The second night we left and went to another hotel which was 80 bucks cheaper and 100 times nicer. DO NOT STAY HERE
fake ||| positive ||| The windy city fairmont hotel is one of chicago's best recently renovated to bring it up to modern day luxury. With fine dining atmosphere and hotel deluxe suites and the view that is breath taking. This hotel can accommodate the guest no matter what you desire. with a fabulous restaurant on the 15Th floor with dinning at its best. With it over looking the great Chicago area. So the next time your in the windy city come and stay with us where you will be pamper by our fine staff.
truthful ||| negative ||| The Conrad has all the right stuff - great bedding, fancy decorations, beautiful lobby, etc. However, they are seriously missing the boat when it comes to customer service and attention to detail. When I checked in, I went to get a glass of wine from the minibar, only to discover that everything in the fridge was warm. I called for help and was cheerfully told that they would send an engineer right away to fix it. In the meantime, I said, great, but what about a cold drink? They proceeded to send me 1 glass of wine via room service, without asking me if this would be okay. I paid $25 for 1 glass of wine. The minibar bottle would've given me 2 glasses for about $33. Nothing was said to me about this obvious difference. When I called to complain, I was made to feel cheap. To me, it was not the money, it was the principle. The next morning, my bill showed that I had eaten something out of the minibar. I had not. I called, and they said that the automatic sensors in the minibar must have triggered something (duh - when the engineer came and took the entire fridge out of its compartment to fix it), and they took the charge off. They also took $10 off my room service bill, but I was still annoyed that nobody bothered to apologize or acknowledge the fact that I was overcharged. Also, when they fixed the minibar fridge, they did not replace anything in it. The guy said, it'll take a while for things to cool down. Oh, really? How about the warm beer, that was once cold, that will now taste disgusting? I guess they're saving that for the next person who checks into my room and has no idea. Another annoyance was that the lighted mirror in our bathroom did not work. When I plugged it in, it made 2 other lights in the bathroom go off, and then it never would come on. It seems that the Conrad thinks it can spend a lot of money to make itself look beautiful, without worrying about each customer's experience. I don't think they go into the rooms and check them out. And their sta
truthful ||| positive ||| This is a great find for downtown Chicago. The price is right and the staff are excellent. As noted, there is construction going on around the hotel, but I didn't notice any issues that disturbed sleeping. I asked for a quiet room on an upper floor, and was gladly given one. The lobby is small, the atmosphere is that of a small boutique hotel. The concierge, Stephanie did a super job in finding us a restaurant and booking us reservations (along with a complimentary appetizer). We had a standard room, and it was spacious, tastefully decorated--everything we needed. The bathroom had a nice whirlpool tub for soaking--and the MP3 compatible radio was a nice perk. Just can't say enough about how nice the staff are--every single person you meet. Would definitely stay here again.
truthful ||| negative ||| Three nights there on business. Hadn't realized that the place was under construction and therefore the bar and restaurant are in the basement, very bleak. Told the front desk that I hadn't realized about the construction, so I'd have to switch hotels, they said they were still going to charge me for 3 nights. So I stayed. TV didn't work. Tried to get them to fix it and they ignored me...eventually after I called again, a few hours later, a couple grumpy maintanance guys came and fixed it. Long and complicated experience at the business center (which doesn't open until 9am, BTW), where I ended up paying $45 to print 55 pages. Had to buy these cards, and then the woman behind the desk ended up printing them herself anyway, (and charging me for them). I was left with $22 on a card for use at the business center in the basement of the Swissotel in Chicago, 2000 miles from where I live. I asked for a refund on the card and -- no surprise -- she declined to help me with that. Nice room, nice view, but the hotel is sterile and the service was incredibly bad. Worst experience I've ever had at a hotel when traveling for business.
truthful ||| positive ||| We spent a week in this hotel and were very pleased with the experience. As described in previous reviews. the room was very comfortable with the huge televison and bathroom being particularly outstanding. Service was excellent overall (I especially liked the bottle of water at my bedside with the turn down service). The door and bellmen/women were particularly pleasant and helpful and the concierge was friendly and knowledgeable. We had completely satisfactory (though overpriced) drinks in the bar but didn't eat at the restaurant. The health club was fine and the equipment was well maintained. While there were only three treadmills and two elipitical steppers, I never had to wait for a machine although it might be a different story in the dead of a Chicago winter! One minor quibble--I like to have coffee first thing in the morning and there was no in-room coffee maker. The restaurant offered free coffee "to-go" but only before eight AM. This is a very, very comfortable, attractive hotel in a wonderful location. Chicago is an expensive city but we felt that we got a reasonable value for our money.
fake ||| positive ||| Amalifa Hotel in Chicago was an extremely pleasant and exciting hotel experience. I was taken away by the design and decor of the building and the exceptional customer service. I will definitely be returning for another stay!
truthful ||| positive ||| I stayed here August 20 through 23rd with my sixteen year old son and we thoroughly enjoyed this hotel. The price was very reasonable for a hotel located right on Michigan Avenue. The front desk and concierge service was excellent and enhanced our stay by making it easy for us to plan fun activities. The John Entwistle theme on our floor was a nice touch. Any of you single fathers out there can appreciate how difficult it can be to take a fun affordable vacation with your children and The Hard Rock Hotel in Chicago really helped me accomplish just that!
truthful ||| negative ||| this is my letter to the management..... Sir or Madam: I am writing to give feedback about our recent stay the Amalfi. We were a guest from 11/20 to 11/23. During our stay we used the "Valet" Service operated through Standard Parking. Our vehicle was returned with stolen items from the glove compartments. Much to my chagrin, $44/day valet service did not include proper security/monitoring, despite the premium over "self park". I understand that these parking services are sub-contracted by the hotel, but I would think that any worthy hotel would remedy the situation. This was not the case. I hope that your staff will be able to take measures to rectify the situation for future guests
truthful ||| negative ||| My husband and I and our 10 month old took a quick trip to Chicago. We stayed one night at The Palmer house after reading that they were a four star hotel. I guess I am just confused as to why they are a four star hotel. Yes the lounge area is nice but the rooms were so small I couldn't set up a pack and play for my son. I had to call and "upgrade" my room just so my son could have someplace to sleep. The lower levels have been updated which makes them slightly better than a Holiday Inn. The wall paper is peeling away from the walls and the shower was dirty. I will NEVER stay there again.
fake ||| negative ||| When my husband and I went to Amalfi Hotel we were expecting first class service. First, when we got there we learned they had given our room to another guest and we were not able to get a suite like we had booked. Room service took forever and the food was subpar. Supposedly they had planners to help explore the area, but we requested one and never saw hide nor hair of a planner. The spa staff seemed incompetent. The only positive things I can say about Amalfi Hotel was that the rooms were stylish as advertised. I give this hotel two stars.
fake ||| negative ||| A few weeks ago we stayed at the Hard Rock Hotel in Chicago. The hotel was a bust from the get go. As we arrived in the lobby, we had to wait several minutes for the front desk clerk to show up. (We could hear her talking in the back for 5 minutes.) When she got to the desk she was very short with us and not very helpful. We had to wander around the halls looking for our room. Once we got to our room, we thought the weekend was going to get better. The rooms are modern and nicely designed. That was about all that this hotel had going for it though. As soon as we started to explore the room more, it was clear this room had been a haven for a party a few nights before. The bathroom smelled of vomit and the bath tub had small shards or glass from broken bottles in it. We called a worker and they cleaned most of it up, but the thought of it still remained. As we all settled down to sleep, there were a few loud noises coming from the room next door. After about an hour, we finally made a call to the front desk to complain. The woman said that a rock band was in that room and they had just finished a show in Chicago. They were staying there the next 2 nights. I wouldn't recommend this hotel to anyone! It's a hard rock hotel all right. (At least that's what the beds feel like!)
fake ||| positive ||| My husband and I stayed at the Conrad Chicago on our 1st anniversary tripped and had a WONDERFUL experience thanks to the staff. Not only is the hotel and a great location with many places to eat and socialize within walking distance, but they rooms were also clean and quiet. The staff was helpful and accommodated our requests. We'll definitely be staying here again next time we visit Chicago! Also if you stay you MUST eat at The Restaurant. Fabulous food!
truthful ||| negative ||| We recently stayed at the hotel allegro in chicago illinois, while the hotel was nice please take my advice and do not stay here. I payed cash for the room and handed over my credit card for incedentals ($50.00) the next day my debit card was charged $200 clearly this had to be a mistake...i called the hotel manager who was the rudest person i have ever spoken with about the charge and was told that it was my fault i paid cash and that i could give him my bank account, routing, SS # and authorization code and he could call my bank and take care of it. Clearly i am smart enough not to give this information to anyone yet alone someone who had already taken more then should have been charged. I then called corporate to complain and let them know about the situation the only thing corporate could tell me is that they had already credited my account and that they were sorry and it was clearly my mistake. I then questioned them about the manager asking for all my information if they had already credited my account and they told me they didnt have an answer for me. So for your bank accounts sake do not stay here they are many other options in chicago
truthful ||| negative ||| Thank god I got this hotel through priceline. I can't imagine paying full price for this place. The tub was moldy and dingy. The toilet didn't flush. Their selection of TV channels was limited to say the least. Unless you wanted to pay $5 for a rerun of an NBC show. Oh, and internet? Why that will set you back about $15 for the day. And breakfast? That's about $16 for a cup of coffee, a croissant and two slices of honeydew. This hotel is the pits. The customer service is....absent! When you walk in to the ridiculous lobby (decked out like some bad late 80's prom) there's no one to direct you upstairs to the check in. And once you're there, check in is very fast, i'll grant them that. This hotel is a big, crummy rip-off. I will never stay here (and will steer clear of Hyatts in general I believe).
fake ||| negative ||| I just returned from a long weekend in Chicago with my wife. We stayed at the Affinia hotel and I can't even begin to describe what an awful experience it was. When we arrived at 4pm on Thursday (check-in is 3pm), our room was not ready. We had to wait til almost 5pm before we could even get into the room. Once inside the room smelled like an ash tray. Obviously someone had deactivated the smoke detectors somehow and had been smoking in the room. We decided to just go out for an early dinner. After arriving back to our room around 9pm, our key didn't work. We had to go all the way back down to the lobby to get a new one. The next morning the maids started knocking on our door at 7:30 in the morning! Why would you try to clean the room that early??!! The 'do not disturb' sign was on our door for the rest of the stay. After that early wakeup, we went downstairs to request a different room due to the terrible smell in the one we were assigned. The front desk employee gave me a very condescending look and sighed when I asked. Eventually we did get a new room but I didn't enjoy the demeanor I encountered to do so. Our new room was fairly nice, and the rest of the stay was relatively uneventful, but I have a bad taste in my mouth and likely won't stay there again.
fake ||| negative ||| The Hyatt Regency Hotel in Chicago was the worst hotel I ever went to! I booked a non-smoking room online, and they went ahead and gave me a room that smoking was allowed. After going in my room, I smelled heavy smoke smell. It was really bad. I called the front desk about the issue, and they said they had nothing like that on record and refused to exchange rooms for me! There was also blood stains on my bed sheets. The carpet was also dirty. I would never book at that Hyatt again!
truthful ||| positive ||| We loved the Talbott. The location was fabulous...very close to the shopping. The hotel is smaller, but the rooms are very nice. They are very spacious and are able to be darkened to sleep well. Also, the beds are some of the most comfortable I have ever slept in. I might also add that our room at queen beds. The staff is all friendly and puts them themselves out for you. The hotel has a cute outdoor eating area on the sidewalk that has flowers, etc. It looks like a scene out of Europe. I would highly recommend the hotel. We were there with our daughters; ages 10 and 13.
truthful ||| negative ||| I booked this hotel for my family of 4 to stay overnight to see the Magnificent Mile Christmas Lights Parade. I chose it because it had a sofa sleeper and one bed. We arrived at our hotel around 3:30 PM to check in. We came at this time because the front desk worker said that we could not check in until 3:00 PM. After giving him our name, the manager said,"OK, we have your king smoking suite available". We quickly corrected him to let him know that we were traveling with two very young kids and we reserved a non-smoking room. He insisted that his computer said that we reserved a smoking room. We went back and forth, then he asked us if we had a copy of our reservation. Luckily, we were able to pull the reservation up on our phone. It clearly said non-smoking. After showing him our reservation, he explained that there was nothing that he could do to correct the situation because they had no other rooms available. So why in the world did he need to see our reservation!! We decided to see if we could handle the smoking room. It turns out that the entire floor was smoking and for a non smoker there was no way that we could sleep in a smoking room on a smoking floor with our two young children. The manager eventually called around and found a hampton inn near by with one bed. We canceled our room reservation. We live about an hour away from downtown so we made the late night trip back home. My family was very disappointed. My husband is a gold member with Hilton. Let's just say we will be switching back to Marriott. The hotel lobby was dated. The smoking room that I saw looked very dated as well. They made an error and never owned up to it, nor did they do anything to compensate us for such a huge inconvenience.
truthful ||| negative ||| I just returned from a 2 night stay at the hotel. I had requested a high floor, quiet room. Neither request was honored. The windows are not well insulated, because the traffic, car horns and sirens continued all night long. On the first night two drunk parties woke us up in the hallway. The safe in our room did not work. Someone had locked it before our arrival. One of the pictures under the tv had been removed, leaving a screw sticking out of the wall. The lights are so dim, that is next to impossible to read. A small alcove with a stained bench had a "reading light" that was about 50 watts. Our room key cards didn't work, so we returned to the lobby where they recoded them. Upon returning to our room, they didn't work again and we stood there trying over and over again until finally we succeeded with no help from the staff. The bathroom is small and has no fan, so the steam covers the mirrors, and unless you leave the bathroom door open, it does not clear. On Friday night one small cookie was left in our room. What about a second guest. Are we supposed to split a 2 inch diameter cookie???!!!! On Sunday the phone rang with a 7 am wakeup call. We had not requested to be woken up!!!! The concierge did not know the way to get to O'Hare by train, and gave us a longer route than was necessary. I have stayed in much better hotels in Chicago...quieter and more spacious, more elegant and worth the money. This is definitely not worth $400 a month. (By the way, I live in Washington, DC and am used to city noise. This was unacceptable!)
fake ||| positive ||| My Stay at Sheraton Chicago Hotel and Towers was wonderful, i stayed in the traditional guest room and i slept good, i was able to get to my meeting well rested, thank you Sheraton! -Bobby
fake ||| positive ||| I recently traveled up to Chicago for business and had a terrific 3 day 2 night stay at the Sofitel Chicago Water Tower in downtown. The location was perfect as it gave me easy access to Michigan Avenue and the conference center where I was doing business. My hotel room was rather nice with a very comfortable king size bed and a cozy atmosphere. I ordered room service for dinner and it came within 30 minutes so I was quite pleased with that and they serve from their own restaurant which is located downstairs. The food was extremely good and I really enjoyed not having to go out and fight the traffic to find a good place to eat. I had been really tired from my meeting earlier in the day and had no trouble going to bed on the comfortable mattress. I woke up and took a shower and the bathroom was definitely up to standard with any other quality hotel. They had all the soaps and stuff as usual and they had plenty of towels on hand as well. After shower I headed down and they had a breakfast buffet at the restaurant which was free for hotel guests. The breakfast was delicious and started my day out right. After my business stuff was over I really got out and enjoyed Chicago. I met up with a friend who came over and visited my hotel and she was quite impressed with it as well. When I go back to Chicago I will definitely stay at the Sofitel again.
fake ||| negative ||| Our stay at the Sofitel was definitely below our expectations. The staff was less than nice to me after I waited several minutes until I was noticed. At first, my reservation could not be found, so I was provided a spare room. The hotel was fairly neat. However, once we got to the room, and onto the bed, we found the bed to be noisy. Just sitting on it made a squeaking noise that was unpleasant. We immediately called down to the front desk and informed them of our concern. We were told to go back downstairs to settle things out. Once we got downstairs, we were provided with another room number. However, we had to wait half an hour for another room to be cleaned and prepared. For such a well reviewed hotel, I was highly disappointed with the amount of time I had to spend to get settled into a room.
truthful ||| positive ||| I stayed at the Allegro for several days in August 2004 and I would defintely stay again. I had a very large room with a huge bathroom, although the property is a converted theater so the rooms may vary in size and layout. The lobby is comfortable with big sofas and chaise lounges, a nice place to enjoy the simple (2 choices, no munchies) but pleasant wine reception. At night, there is not much going on in the immediate vicinity, other than theater traffic, but it's a short cab ride to Michigan Avenue shopping and River North restaurants.
truthful ||| positive ||| Spent two nights at the InterContinental on a business trip. This is a tremendous, towering hotel in one of the best locations in Chicago -- right on the Magnificent Mile and superbly convenient for shopping and well placed for the business area. My room was in the Historic Tower -- a 1920s Masonic Club which has been converted at enormous expense. The effort has been worthwhile. My room was very large and well furnished, with a beautiful bathroom which contained a separate shower cubicle. It had breathtaking views down Michigan Avenue. There is a superb recreation centre (with an impressive swimming pool) beautiful bars and a good restaurant, Zest, that serves a great breakfast. There is wifi in the rooms ($9.95 per day) and tea and coffee making facilities. No trouser press, but there is an ironing board and iron. The staff is friendly and anxious to please. I recommend this hotel in the strongest possible terms. It's expensive, but it will be difficult to find a better one in Chicago.
fake ||| positive ||| My husband and I came to the Ambassador East Hotel for my sister's wedding. The hotel had been very helpful and professional in helping us coordinate a wedding with over 200 guests. When we arrived we were impressed by how organized they were, helping us check and get our guests situated. They were even nice enough to let us leave guest gift bags in each of our guest's rooms. Our rooms were clean and beautifully appointed, with a view of the city. We held the rehearsal dinner/groomsman party in the pump room which has a gorgeous bar complete with celebrity photos on the wall. After my sister was married in a church downtown, we held the reception in the large banquet hall. Again the hotel was great about shuttling all of our guests and helping us arrange dinner, the DJ and all of the wedding's decorations. We had a great time. Ambassador East Hotel is highly recommended!
truthful ||| positive ||| My wife and I spent several nights here on a getaway excursion. I didn't choose it -- Priceline gave it to me for $70. If I'd paid the book rate, $175, I'd have been less pleased. No troubles with checkin. Very small room but bed was clean and comfortable. Starbucks in the lobby was a godsend. I'd read horror stories about the staff but they seemed friendly enough. For $70, it's a steal. For its online face value, not so much. Will definitely return if can get similar price.
fake ||| positive ||| I stayed at the Millennium Knickerbocker Hotel for a fun weekend in Chicago. The standard room had a nice king size bed that was nice and comfortable. I love a hotel with all white sheets because then I know it's clean. I really liked the simple and modern decor, especially the huge upholstered headboard. Nice fixtures in the bathroom and granite counter. The bathroom was so much nicer than my own bathroom at home. The staff was friendly. Can't really judge the service because I didn't have any problems or complaints. So I didn't have a reason to interact with the staff much. Overall, it was a very nice hotel in a great location. Will definitely stay here again on my next visit.
fake ||| negative ||| Recently staying at the Omni Chicago Hotel, was a waste of money. The rooms are typical standard rooms,(unless you want to pay an unreasonable amount for one of the premier rooms), the service from the staff was nothing to rave about unless, your ideal, idea of service is waiting in the lobby for 40 minutes waiting for anybody to help you carry your heavy luggage up to your room. Sorry to say in short I think my money would have been better spent staying at a HoJo's.
